param,lv1,lv2,lv3,lv4,catg_nm_full
50004651,식품,축산,돼지고기,국내산돼지고기,축산_돼지고기_국내산돼지고기
50004652,식품,축산,돼지고기,수입산돼지고기,축산_돼지고기_수입산돼지고기
50004653,식품,축산,쇠고기,국내산육우,축산_쇠고기_국내산육우
50004654,식품,축산,쇠고기,한우,축산_쇠고기_한우
50004655,식품,축산,쇠고기,수입산쇠고기,축산_쇠고기_수입산쇠고기
50004656,식품,축산,닭고기,부위별닭고기,축산_닭고기_부위별닭고기
50004657,식품,축산,닭고기,생닭,축산_닭고기_생닭
50000279,식품,축산,오리고기,NA,축산_오리고기_NA
50000280,식품,축산,양고기,NA,축산_양고기_NA
50002457,식품,축산,알류,훈제란,축산_알류_훈제란
50004658,식품,축산,알류,달걀,축산_알류_달걀
50004659,식품,축산,알류,메추리알,축산_알류_메추리알
50004660,식품,축산,알류,오리알,축산_알류_오리알
50002456,식품,축산,축산가공식품,오리훈제,축산_축산가공식품_오리훈제
50004661,식품,축산,축산가공식품,갈비찜,축산_축산가공식품_갈비찜
50004662,식품,축산,축산가공식품,돈가스,축산_축산가공식품_돈가스
50004663,식품,축산,축산가공식품,돈육훈제,축산_축산가공식품_돈육훈제
50004664,식품,축산,축산가공식품,돼지양념육,축산_축산가공식품_돼지양념육
50004665,식품,축산,축산가공식품,쇠고기양념육,축산_축산가공식품_쇠고기양념육
50004666,식품,축산,축산가공식품,닭양념육,축산_축산가공식품_닭양념육
50004667,식품,축산,축산가공식품,오리양념육,축산_축산가공식품_오리양념육
50004668,식품,축산,축산가공식품,떡갈비,축산_축산가공식품_떡갈비
50004669,식품,축산,축산가공식품,베이컨,축산_축산가공식품_베이컨
50004670,식품,축산,축산가공식품,족발,축산_축산가공식품_족발
50004673,식품,축산,축산가공식품,햄,축산_축산가공식품_햄
50004674,식품,축산,축산가공식품,소시지,축산_축산가공식품_소시지
50004675,식품,축산,축산가공식품,순대,축산_축산가공식품_순대
50004676,식품,축산,축산가공식품,육포,축산_축산가공식품_육포
50004678,식품,축산,축산가공식품,삼계탕,축산_축산가공식품_삼계탕
50004679,식품,축산,축산가공식품,닭가공품,축산_축산가공식품_닭가공품
50004680,식품,축산,축산가공식품,오리가공품,축산_축산가공식품_오리가공품
50004681,식품,축산,축산가공식품,기타육가공,축산_축산가공식품_기타육가공
50000215,식품,축산,기타육류,NA,축산_기타육류_NA
50004682,식품,수산,생선,갈치,수산_생선_갈치
50004683,식품,수산,생선,고등어,수산_생선_고등어
50004684,식품,수산,생선,굴비,수산_생선_굴비
50004685,식품,수산,생선,장어,수산_생선_장어
50004686,식품,수산,생선,옥돔,수산_생선_옥돔
50004687,식품,수산,생선,조기,수산_생선_조기
50004688,식품,수산,생선,참치,수산_생선_참치
50004689,식품,수산,생선,동태,수산_생선_동태
50004690,식품,수산,생선,초밥재료,수산_생선_초밥재료
50004691,식품,수산,생선,홍어,수산_생선_홍어
50004692,식품,수산,생선,생선회,수산_생선_생선회
50004693,식품,수산,생선,연어/훈제연어,수산_생선_연어/훈제연어
50004694,식품,수산,생선,기타생선,수산_생선_기타생선
50004695,식품,수산,김/해초,김,수산_김/해초_김
50004696,식품,수산,김/해초,다시마,수산_김/해초_다시마
50004697,식품,수산,김/해초,매생이,수산_김/해초_매생이
50004698,식품,수산,김/해초,미역,수산_김/해초_미역
50004699,식품,수산,김/해초,해초샐러드,수산_김/해초_해초샐러드
50004700,식품,수산,김/해초,기타해초,수산_김/해초_기타해초
50004701,식품,수산,해산물/어패류,전복,수산_해산물/어패류_전복
50004711,식품,수산,해산물/어패류,꽃게,수산_해산물/어패류_꽃게
50004712,식품,수산,해산물/어패류,킹크랩,수산_해산물/어패류_킹크랩
50004719,식품,수산,해산물/어패류,해삼,수산_해산물/어패류_해삼
50004715,식품,수산,해산물/어패류,꼬막,수산_해산물/어패류_꼬막
50004716,식품,수산,해산물/어패류,홍합,수산_해산물/어패류_홍합
50004702,식품,수산,해산물/어패류,새우,수산_해산물/어패류_새우
50004703,식품,수산,해산물/어패류,소라,수산_해산물/어패류_소라
50004704,식품,수산,해산물/어패류,골뱅이,수산_해산물/어패류_골뱅이
50004707,식품,수산,해산물/어패류,문어,수산_해산물/어패류_문어
50004710,식품,수산,해산물/어패류,오징어,수산_해산물/어패류_오징어
50004706,식품,수산,해산물/어패류,낙지,수산_해산물/어패류_낙지
50004708,식품,수산,해산물/어패류,주꾸미,수산_해산물/어패류_주꾸미
50004709,식품,수산,해산물/어패류,조개,수산_해산물/어패류_조개
50004713,식품,수산,해산물/어패류,바닷가재,수산_해산물/어패류_바닷가재
50004714,식품,수산,해산물/어패류,굴,수산_해산물/어패류_굴
